Employee_ID,Age,Gender,Job_Role,Industry,Years_of_Experience,Work_Location,Hours_Worked_Per_Week,Number_of_Virtual_Meetings,Work_Life_Balance_Rating,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resources,Productivity_Change,Social_Isolation_Rating,Satisfaction_with_Remote_Work,Company_Support_for_Remote_Work,Physical_Activity,Sleep_Quality,Region,Stress_Level_Category,Social_Isolation_Category
EMP0056,30,Non-binary,Project Manager,Education,8,Hybrid,47,12,3,Low,Anxiety,No,Increase,3,Neutral,5,Daily,Good,Africa,Medium,Medium
EMP0057,42,Maleale,Software Engineer,IT,14,Remote,48,13,5,Low,Depression,Yes,Increase,4,Neutral,5,,Good,Asia,High,Medium
EMP0058,53,Prefer not to say,HR,IT,7,Onsite,49,6,5,Low,,No,No Change,4,Satisfied,3,,Average,South America,High,Medium
EMP0059,26,Prefer not to say,Designer,Manufacturing,31,Remote,51,4,1,Low,,No,Decrease,2,Unsatisfied,3,Daily,Average,Oceania,Low,Low
EMP0060,26,Prefer not to say,Data Scientist,IT,17,Remote,57,13,2,Medium,,Yes,No Change,1,Satisfied,5,Daily,Poor,Oceania,Low,Low
EMP0061,25,Non-binary,Sales,Consulting,4,Hybrid,33,14,4,Medium,Depression,Yes,No Change,1,Unsatisfied,2,Daily,Good,Europe,Medium,Low
EMP0062,33,Femaleemale,Sales,IT,14,Remote,30,15,2,Medium,Depression,Yes,Increase,5,Unsatisfied,5,Daily,Good,North America,Low,High
EMP0063,25,Non-binary,Project Manager,Finance,20,Hybrid,28,4,3,Medium,Depression,No,No Change,3,Satisfied,2,,Poor,Asia,Medium,Medium
EMP0064,22,Femaleemale,Software Engineer,Healthcare,5,Onsite,31,15,3,Medium,Depression,Yes,No Change,2,Satisfied,5,,Good,South America,Medium,Low
EMP0065,60,Prefer not to say,Data Scientist,Healthcare,18,Hybrid,37,0,4,Medium,Burnout,No,No Change,2,Unsatisfied,2,,Good,Oceania,Medium,Low
EMP0066,56,Maleale,HR,Finance,9,Remote,31,3,4,Medium,Anxiety,Yes,Increase,4,Satisfied,4,Weekly,Poor,Europe,Medium,Medium
EMP0067,45,Non-binary,Software Engineer,IT,6,Hybrid,46,3,1,Medium,Burnout,No,Increase,3,Satisfied,2,Daily,Good,Oceania,Low,Medium
EMP0068,60,Femaleemale,Marketing,Education,32,Remote,20,6,2,High,,Yes,Decrease,3,Unsatisfied,4,Weekly,Poor,Oceania,Low,Medium
EMP0069,32,Femaleemale,Designer,Manufacturing,23,Onsite,51,8,2,High,Anxiety,Yes,Decrease,3,Neutral,1,Daily,Average,South America,Low,Medium
EMP0070,25,Femaleemale,Marketing,Finance,6,Remote,28,13,2,Low,,No,No Change,5,Neutral,1,Daily,Good,North America,Low,High
EMP0071,43,Prefer not to say,Marketing,Consulting,23,Onsite,39,4,4,Medium,Anxiety,No,Increase,4,Satisfied,1,Weekly,Average,North America,Medium,Medium
EMP0072,50,Prefer not to say,Designer,Consulting,25,Remote,29,13,1,Medium,Depression,Yes,No Change,2,Neutral,2,Weekly,Average,Oceania,Low,Low
EMP0073,28,Prefer not to say,Designer,Retail,15,Onsite,30,14,5,High,Burnout,Yes,No Change,2,Unsatisfied,1,Weekly,Good,Africa,High,Low
EMP0074,23,Non-binary,Software Engineer,IT,29,Hybrid,53,7,3,High,Anxiety,Yes,Decrease,1,Neutral,1,,Poor,Africa,Medium,Low
EMP0075,38,Prefer not to say,Project Manager,Consulting,35,Onsite,57,10,2,Medium,Burnout,No,No Change,3,Neutral,3,Weekly,Poor,Africa,Low,Medium
EMP0076,42,Maleale,Marketing,Retail,27,Onsite,49,3,5,High,Anxiety,Yes,No Change,4,Satisfied,3,,Good,Asia,High,Medium
EMP0077,31,Non-binary,HR,Consulting,4,Onsite,55,8,4,High,Depression,No,No Change,1,Unsatisfied,2,Weekly,Good,Europe,Medium,Low
EMP0078,28,Femaleemale,Marketing,Healthcare,25,Remote,37,10,5,Medium,Anxiety,Yes,No Change,1,Satisfied,1,Daily,Average,South America,High,Low
EMP0079,29,Maleale,Data Scientist,Manufacturing,15,Remote,51,5,2,High,Burnout,Yes,Increase,2,Neutral,1,Daily,Average,South America,Low,Low
EMP0080,27,Maleale,Project Manager,Consulting,21,Hybrid,21,7,5,Low,Burnout,No,No Change,4,Unsatisfied,3,Weekly,Average,Asia,High,Medium
EMP0081,54,Femaleemale,Data Scientist,Education,5,Hybrid,21,10,3,High,Burnout,No,Decrease,4,Satisfied,4,,Poor,Asia,Medium,Medium
EMP0082,42,Non-binary,Software Engineer,Finance,33,Onsite,44,9,4,High,Depression,Yes,Increase,3,Neutral,2,Daily,Poor,South America,Medium,Medium
EMP0083,58,Prefer not to say,HR,Education,32,Hybrid,26,10,3,High,Depression,Yes,Increase,5,Unsatisfied,2,Weekly,Good,North America,Medium,High
EMP0084,26,Femaleemale,Project Manager,Healthcare,15,Hybrid,43,6,4,High,Burnout,Yes,Increase,5,Unsatisfied,3,,Poor,Europe,Medium,High
EMP0085,56,Maleale,Designer,Retail,9,Hybrid,42,14,4,Low,,Yes,Decrease,2,Unsatisfied,5,,Good,Oceania,Medium,Low
EMP0086,50,Maleale,Designer,Finance,20,Hybrid,44,8,4,Low,Burnout,No,No Change,2,Unsatisfied,4,Daily,Poor,Asia,Medium,Low
EMP0087,55,Prefer not to say,Project Manager,Manufacturing,10,Onsite,27,0,1,Low,Anxiety,No,Decrease,1,Satisfied,1,Weekly,Poor,North America,Low,Low
EMP0088,22,Prefer not to say,Data Scientist,Education,26,Hybrid,43,5,1,Medium,,Yes,Increase,2,Unsatisfied,2,Weekly,Poor,Africa,Low,Low
EMP0089,24,Femaleemale,Designer,Consulting,11,Remote,38,0,5,High,Anxiety,Yes,Increase,5,Neutral,2,,Poor,North America,High,High
EMP0090,53,Prefer not to say,Marketing,Healthcare,23,Hybrid,38,4,4,Low,Depression,Yes,Increase,5,Unsatisfied,4,Daily,Poor,Oceania,Medium,High
EMP0091,57,Femaleemale,Data Scientist,Retail,2,Onsite,57,4,4,Medium,Depression,No,No Change,4,Unsatisfied,2,Weekly,Average,Africa,Medium,Medium
EMP0092,22,Femaleemale,Software Engineer,Manufacturing,9,Onsite,60,3,1,High,Burnout,No,Decrease,3,Satisfied,5,Weekly,Good,South America,Low,Medium
EMP0093,41,Maleale,Data Scientist,IT,31,Onsite,29,0,5,Medium,Burnout,No,Increase,3,Satisfied,5,,Poor,Asia,High,Medium
EMP0094,46,Non-binary,Data Scientist,Education,34,Remote,54,12,4,High,Depression,Yes,Decrease,2,Satisfied,4,,Average,Europe,Medium,Low
EMP0095,60,Non-binary,Project Manager,Education,11,Onsite,31,11,5,High,,No,Decrease,2,Neutral,4,Weekly,Average,Africa,High,Low
EMP0096,44,Femaleemale,Project Manager,Manufacturing,2,Remote,54,8,5,Low,Burnout,No,Decrease,1,Satisfied,3,,Good,Asia,High,Low
EMP0097,35,Maleale,Data Scientist,Healthcare,31,Hybrid,33,11,1,High,Burnout,No,Decrease,5,Neutral,5,Weekly,Poor,Africa,Low,High
EMP0098,48,Maleale,Designer,IT,32,Hybrid,25,1,4,Low,Burnout,No,Increase,4,Neutral,3,Weekly,Average,South America,Medium,Medium
EMP0099,31,Prefer not to say,Data Scientist,Healthcare,19,Onsite,21,15,1,Low,Burnout,No,No Change,4,Satisfied,5,Daily,Good,Asia,Low,Medium
EMP0100,53,Maleale,Project Manager,IT,12,Hybrid,45,10,2,Medium,,No,Decrease,3,Satisfied,4,Daily,Good,Africa,Low,Medium
EMP0101,32,Prefer not to say,Designer,Manufacturing,32,Onsite,53,5,1,Medium,Depression,No,Increase,5,Satisfied,1,,Poor,Asia,Low,High
EMP0102,33,Prefer not to say,Sales,Consulting,9,Hybrid,46,12,1,High,Burnout,No,Increase,2,Neutral,2,Daily,Poor,Africa,Low,Low
EMP0103,45,Prefer not to say,Sales,IT,3,Hybrid,22,9,4,High,Burnout,No,No Change,4,Satisfied,4,,Good,Africa,Medium,Medium
EMP0104,50,Maleale,Software Engineer,Finance,18,Hybrid,60,12,4,High,Depression,Yes,Increase,4,Satisfied,5,,Good,Africa,Medium,Medium
EMP0105,41,Femaleemale,Designer,Education,30,Hybrid,42,2,4,Low,Depression,Yes,Decrease,4,Satisfied,3,Weekly,Average,Africa,Medium,Medium
EMP0106,43,Non-binary,Data Scientist,Healthcare,18,Onsite,60,2,3,High,Burnout,Yes,Increase,3,Neutral,3,Daily,Good,South America,Medium,Medium
EMP0107,29,Prefer not to say,HR,IT,25,Onsite,35,14,1,Medium,Anxiety,Yes,Decrease,4,Neutral,2,Daily,Good,South America,Low,Medium
EMP0108,44,Prefer not to say,Software Engineer,Healthcare,27,Hybrid,44,2,2,High,Anxiety,No,Decrease,2,Satisfied,5,Weekly,Poor,Europe,Low,Low
EMP0109,50,Prefer not to say,Software Engineer,Healthcare,2,Remote,50,2,4,Medium,Burnout,No,No Change,1,Satisfied,2,Weekly,Poor,Oceania,Medium,Low
EMP0110,36,Maleale,Data Scientist,Finance,4,Remote,22,7,5,Low,Burnout,No,No Change,1,Neutral,5,Daily,Good,Asia,High,Low
EMP0111,34,Femaleemale,Data Scientist,Education,29,Hybrid,29,13,3,High,Anxiety,Yes,Increase,5,Unsatisfied,5,Weekly,Average,Africa,Medium,High
EMP0112,49,Maleale,HR,Finance,30,Remote,34,8,5,Low,Burnout,No,Decrease,5,Unsatisfied,1,Weekly,Good,Africa,High,High
EMP0113,45,Femaleemale,Marketing,Retail,10,Remote,30,7,1,Low,Depression,Yes,Increase,1,Satisfied,5,,Poor,Europe,Low,Low
EMP0114,45,Prefer not to say,Data Scientist,Retail,21,Onsite,53,0,3,Low,,Yes,Decrease,1,Neutral,5,Daily,Poor,Europe,Medium,Low
EMP0115,53,Femaleemale,Designer,Healthcare,25,Remote,29,5,2,High,Anxiety,No,No Change,5,Neutral,3,,Poor,Oceania,Low,High
EMP0116,29,Maleale,Marketing,Education,35,Onsite,27,1,3,Medium,Anxiety,Yes,No Change,3,Unsatisfied,3,Weekly,Good,South America,Medium,Medium
EMP0117,34,Prefer not to say,Project Manager,Finance,5,Onsite,44,14,3,Medium,Burnout,No,Increase,5,Satisfied,3,Daily,Good,North America,Medium,High
EMP0118,58,Femaleemale,Data Scientist,Education,25,Remote,42,13,2,High,Burnout,No,Increase,5,Satisfied,3,Daily,Good,Europe,Low,High
EMP0119,38,Femaleemale,Data Scientist,Manufacturing,1,Hybrid,22,4,2,Medium,Burnout,Yes,Increase,5,Satisfied,3,Daily,Average,Europe,Low,High
EMP0120,40,Prefer not to say,Project Manager,Consulting,27,Hybrid,34,13,2,Medium,,Yes,Decrease,2,Unsatisfied,5,Daily,Average,Africa,Low,Low
EMP0121,45,Prefer not to say,Project Manager,Manufacturing,29,Onsite,51,13,2,High,Anxiety,No,Decrease,2,Neutral,5,Daily,Average,South America,Low,Low
EMP0122,43,Non-binary,Marketing,Retail,18,Hybrid,48,6,5,High,Depression,Yes,No Change,2,Unsatisfied,3,,Good,Europe,High,Low
EMP0123,50,Maleale,Software Engineer,Healthcare,35,Onsite,30,10,2,High,Anxiety,Yes,No Change,3,Unsatisfied,1,,Good,Africa,Low,Medium
EMP0124,58,Prefer not to say,Sales,Consulting,14,Onsite,59,7,2,Low,,Yes,Increase,1,Satisfied,5,Weekly,Average,North America,Low,Low
EMP0125,42,Non-binary,HR,Manufacturing,27,Remote,26,14,2,High,Depression,Yes,No Change,1,Unsatisfied,4,Daily,Average,South America,Low,Low
EMP0126,53,Prefer not to say,Data Scientist,Finance,27,Hybrid,60,1,3,Low,Burnout,No,Increase,5,Unsatisfied,4,,Average,South America,Medium,High
EMP0127,36,Femaleemale,Marketing,Retail,8,Onsite,38,2,2,Medium,Burnout,Yes,Decrease,2,Unsatisfied,1,Daily,Good,North America,Low,Low
EMP0128,51,Femaleemale,Project Manager,Finance,21,Remote,34,0,5,High,,Yes,Decrease,2,Unsatisfied,2,,Average,Europe,High,Low
EMP0129,27,Femaleemale,Designer,Consulting,15,Onsite,46,12,4,Medium,Burnout,No,No Change,2,Unsatisfied,2,Daily,Poor,Europe,Medium,Low
EMP0130,22,Femaleemale,Sales,Retail,21,Hybrid,35,2,3,Low,,Yes,Decrease,5,Unsatisfied,3,,Average,Oceania,Medium,High
EMP0131,32,Femaleemale,Designer,Education,16,Remote,23,9,1,Medium,,No,No Change,5,Neutral,5,Weekly,Good,Africa,Low,High
EMP0132,32,Femaleemale,Marketing,Manufacturing,26,Remote,28,15,5,Low,Burnout,Yes,Increase,2,Unsatisfied,4,Weekly,Average,Africa,High,Low
EMP0133,53,Maleale,Marketing,Retail,4,Onsite,57,10,3,Medium,,No,No Change,4,Neutral,2,Weekly,Good,South America,Medium,Medium
EMP0134,26,Non-binary,Marketing,Manufacturing,29,Hybrid,29,4,1,Low,,Yes,Decrease,4,Satisfied,2,Weekly,Good,Europe,Low,Medium
EMP0135,60,Maleale,Marketing,Finance,2,Hybrid,39,1,4,Medium,,No,Increase,5,Unsatisfied,2,Weekly,Poor,Oceania,Medium,High
EMP0136,51,Non-binary,Marketing,IT,26,Remote,46,4,5,Medium,Burnout,No,Increase,4,Unsatisfied,5,,Good,Oceania,High,Medium
EMP0137,44,Maleale,Data Scientist,Healthcare,14,Remote,26,9,2,High,Burnout,No,No Change,4,Neutral,5,Daily,Good,South America,Low,Medium
EMP0138,48,Non-binary,Sales,IT,10,Remote,32,4,4,Medium,,Yes,No Change,5,Satisfied,5,Weekly,Poor,Oceania,Medium,High
EMP0139,57,Non-binary,Data Scientist,Education,34,Remote,30,11,3,High,,No,Increase,3,Unsatisfied,5,,Poor,North America,Medium,Medium
EMP0140,49,Non-binary,Project Manager,Education,11,Hybrid,48,3,5,Low,Anxiety,Yes,Decrease,5,Satisfied,1,Weekly,Average,Asia,High,High
EMP0141,32,Non-binary,Project Manager,Education,12,Onsite,44,13,1,High,Anxiety,Yes,Decrease,1,Satisfied,5,Weekly,Poor,Africa,Low,Low
EMP0142,49,Femaleemale,Project Manager,Healthcare,29,Hybrid,49,15,5,Low,Burnout,Yes,Decrease,5,Neutral,4,,Poor,Asia,High,High
EMP0143,23,Femaleemale,Designer,Manufacturing,11,Hybrid,23,0,5,High,,No,No Change,2,Unsatisfied,1,Weekly,Poor,Europe,High,Low
EMP0144,55,Prefer not to say,Designer,Finance,3,Onsite,33,6,5,Low,Burnout,No,No Change,4,Satisfied,2,Daily,Good,North America,High,Medium
EMP0145,47,Non-binary,HR,Education,18,Remote,35,15,5,High,Anxiety,No,No Change,4,Unsatisfied,2,Daily,Average,Asia,High,Medium
EMP0146,48,Non-binary,Marketing,Consulting,5,Remote,41,8,3,Medium,Depression,Yes,Decrease,4,Satisfied,4,Weekly,Poor,Europe,Medium,Medium
EMP0147,36,Prefer not to say,Software Engineer,Healthcare,3,Hybrid,34,12,2,Low,Depression,No,Increase,4,Neutral,3,Daily,Average,Africa,Low,Medium
EMP0148,45,Maleale,Designer,Finance,14,Remote,44,10,1,Low,Anxiety,Yes,No Change,1,Unsatisfied,5,Daily,Average,North America,Low,Low
EMP0149,41,Femaleemale,Designer,IT,10,Onsite,52,8,4,High,Depression,Yes,Decrease,3,Satisfied,4,Daily,Good,Oceania,Medium,Medium
EMP0150,50,Maleale,Designer,Consulting,17,Onsite,57,11,2,Low,Burnout,Yes,Decrease,1,Unsatisfied,3,Weekly,Good,Oceania,Low,Low
EMP0151,41,Femaleemale,Software Engineer,Consulting,34,Remote,32,15,3,High,Anxiety,Yes,Decrease,2,Unsatisfied,3,Weekly,Average,Oceania,Medium,Low
EMP0152,57,Femaleemale,Designer,Consulting,20,Remote,31,6,4,Low,Burnout,No,No Change,3,Satisfied,4,Daily,Poor,Oceania,Medium,Medium
EMP0153,30,Maleale,Software Engineer,Healthcare,29,Hybrid,58,15,1,Medium,Burnout,No,Increase,2,Unsatisfied,2,Weekly,Poor,Africa,Low,Low
EMP0154,23,Femaleemale,Data Scientist,Consulting,31,Remote,26,9,1,Medium,Depression,Yes,No Change,2,Unsatisfied,2,,Poor,Asia,Low,Low
EMP0155,30,Maleale,Software Engineer,Consulting,17,Remote,57,5,1,Low,,Yes,No Change,2,Unsatisfied,4,Weekly,Average,North America,Low,Low
EMP0156,47,Femaleemale,Project Manager,Healthcare,31,Onsite,20,8,1,Low,,No,Decrease,4,Neutral,1,,Good,North America,Low,Medium
EMP0157,33,Prefer not to say,Project Manager,Finance,23,Hybrid,26,0,4,High,,No,Decrease,1,Satisfied,2,Weekly,Average,South America,Medium,Low
EMP0158,32,Maleale,Data Scientist,Finance,21,Hybrid,43,15,3,High,Depression,No,No Change,4,Neutral,3,Weekly,Good,North America,Medium,Medium
EMP0159,43,Maleale,Designer,Manufacturing,6,Onsite,50,14,3,Low,Depression,Yes,Increase,1,Unsatisfied,3,Daily,Average,South America,Medium,Low
EMP0160,43,Non-binary,Software Engineer,Healthcare,14,Onsite,52,0,5,High,Burnout,No,Increase,2,Satisfied,3,Weekly,Good,Oceania,High,Low
EMP0161,35,Femaleemale,Marketing,IT,34,Hybrid,37,1,4,Medium,Anxiety,No,Decrease,2,Satisfied,1,,Average,Africa,Medium,Low
EMP0162,40,Femaleemale,Data Scientist,Education,24,Hybrid,38,0,3,High,,Yes,No Change,4,Neutral,1,,Average,Africa,Medium,Medium
EMP0163,29,Prefer not to say,Designer,Consulting,3,Hybrid,55,11,1,High,Depression,No,Increase,1,Unsatisfied,2,Weekly,Poor,South America,Low,Low
EMP0164,24,Non-binary,Data Scientist,Manufacturing,5,Hybrid,53,14,1,Medium,,No,Increase,3,Neutral,1,Weekly,Average,Africa,Low,Medium
EMP0165,40,Maleale,Software Engineer,Healthcare,11,Onsite,20,13,1,Medium,Burnout,No,Increase,5,Neutral,1,,Good,Oceania,Low,High
EMP0166,22,Femaleemale,Software Engineer,Manufacturing,10,Hybrid,46,1,2,Low,Anxiety,Yes,Increase,1,Neutral,5,Daily,Poor,Africa,Low,Low
EMP0167,48,Non-binary,Software Engineer,Education,35,Onsite,30,8,2,Low,Depression,Yes,No Change,3,Satisfied,2,,Average,Africa,Low,Medium
EMP0168,60,Non-binary,Software Engineer,Retail,27,Remote,50,8,2,High,Anxiety,No,No Change,3,Satisfied,3,Daily,Poor,Asia,Low,Medium
EMP0169,34,Prefer not to say,HR,Healthcare,15,Remote,50,13,2,Medium,,Yes,No Change,3,Satisfied,2,Daily,Average,Europe,Low,Medium
EMP0170,50,Prefer not to say,Project Manager,Manufacturing,10,Hybrid,50,0,1,Low,Burnout,Yes,Increase,5,Satisfied,3,Daily,Poor,Europe,Low,High
EMP0171,38,Maleale,Designer,Retail,19,Remote,23,7,1,Low,,No,Increase,4,Neutral,3,,Poor,North America,Low,Medium
